Longitude,Latitude,Var
5.75,43.75,6.82585
5.75,44.25,7.0577817
5.75,44.75,8.323441
5.75,45.25,8.848351
5.75,45.75,9.380046
5.75,46.25,9.706961
5.75,46.75,10.101813
5.75,47.25,8.981783
5.75,47.75,8.9167795
5.75,48.25,9.323386
5.75,48.75,8.573528
5.75,49.25,8.147219
5.75,49.75,8.224168
5.75,51.25,6.7725124
6.25,33.75,0.133114
6.25,35.25,0.31454575
6.25,35.75,0.6463666
6.25,36.25,1.2550697
6.25,43.75,7.1087556
6.25,44.25,7.006541
6.25,44.75,6.666027
6.25,45.25,6.471691
6.25,45.75,9.699387
6.25,46.25,7.783728
6.25,46.75,8.491307
6.25,47.25,9.713536
6.25,47.75,9.735711
6.25,48.25,9.118985
6.25,48.75,7.6820145
6.25,49.25,7.0998816
6.25,49.75,8.912984
6.25,50.25,9.930454
6.25,50.75,7.2591987
6.25,51.25,6.049045
6.25,51.75,6.9182854
6.75,35.25,0.6044667
6.75,35.75,0.47203964
6.75,36.25,1.4642586
6.75,43.75,8.079778
6.75,44.25,5.1580257
6.75,44.75,4.2343903
6.75,45.25,4.729025
6.75,45.75,7.1739025
6.75,46.25,5.1997795
6.75,47.25,9.603271
6.75,47.75,8.920611
6.75,48.25,9.265935
6.75,48.75,8.068996
6.75,49.25,7.604026
6.75,49.75,8.933478
6.75,50.25,9.385902
6.75,50.75,6.911252
6.75,51.25,5.0210376
6.75,51.75,6.6673856
6.75,52.25,7.619449
6.75,52.75,7.4916034
7.25,35.25,0.86554164
7.25,35.75,0.52776
7.25,36.25,1.6767455
7.25,44.25,4.068924
7.25,44.75,3.8668602
7.25,45.25,4.337629
7.25,45.75,1.6461504
7.25,47.25,8.914927
7.25,47.75,6.4123926
7.25,48.25,5.8980007
7.25,48.75,8.1987095
7.25,49.25,8.736983
7.25,49.75,9.156649
7.25,50.25,8.016903
7.25,50.75,9.108954
7.25,51.25,8.882773
7.25,51.75,6.58685
7.25,52.25,6.3401575
7.25,52.75,6.1308517
7.75,35.25,0.32475582
7.75,35.75,0.3970432
7.75,36.25,2.1226795
7.75,44.25,3.77366
7.75,44.75,3.3189416
7.75,45.25,3.2289722
7.75,45.75,2.631173
7.75,47.75,5.29636
7.75,48.25,5.840908
7.75,48.75,5.9553905
7.75,49.25,8.857553
7.75,49.75,7.668511
7.75,50.25,8.727402
7.75,50.75,9.534004
7.75,51.25,9.015226
7.75,51.75,6.0502367
7.75,52.25,6.796361
7.75,52.75,6.726689
7.75,53.25,7.6935406
8.25,35.25,0.2820303
8.25,35.75,0.44187754
8.25,36.25,1.7102438
8.25,44.75,3.3736627
8.25,45.25,1.9459767
8.25,45.75,2.4325163
8.25,46.25,3.5647793
8.25,47.75,6.879613
8.25,48.25,7.534383
8.25,48.75,8.069253
8.25,49.25,7.4407725
8.25,49.75,4.975642
8.25,50.25,8.21493
8.25,50.75,8.986175
8.25,51.25,10.0048685
8.25,51.75,6.674665
8.25,52.25,6.885318
8.25,52.75,6.5712914
8.75,35.25,0.22291942
8.75,35.75,0.5483629
8.75,36.25,1.2532253
8.75,40.25,4.9109473
8.75,44.75,3.0407536
8.75,45.25,1.6519073
8.75,45.75,2.4898338
8.75,47.75,6.2628584
8.75,48.25,8.482646
8.75,48.75,8.032302
8.75,49.25,7.23528
8.75,49.75,9.036244
8.75,50.25,6.8435054
8.75,50.75,8.340849
8.75,51.25,8.929411
8.75,51.75,7.5135813
8.75,52.25,6.549355
8.75,52.75,6.6254754
8.75,53.25,7.593595
8.75,55.75,7.3077016
8.75,56.25,7.5893517
9.25,35.25,0.14539847
9.25,35.75,0.6388817
9.25,36.25,1.3276923
9.25,36.75,2.482142
9.25,39.75,3.3873363
9.25,40.25,4.972374
9.25,40.75,5.102162
9.25,42.25,10.033694
9.25,44.75,4.3305745
9.25,45.25,2.4871454
9.25,45.75,2.3695743
9.25,46.25,3.3047833
9.25,47.75,5.987041
9.25,48.25,7.6191564
9.25,48.75,7.9060826
9.25,49.25,7.186534
9.25,49.75,8.814492
9.25,50.25,8.80264
9.25,50.75,8.654955
9.25,51.25,7.711515
9.25,51.75,7.732558
9.25,52.25,7.415714
9.25,52.75,6.45873
9.25,53.25,7.0401974
9.25,54.25,7.4666924
9.25,54.75,7.5376916
9.25,55.25,7.4545918
9.25,55.75,7.1917477
9.25,56.25,8.016304
9.75,35.25,0.20450269
9.75,35.75,0.28796503
9.75,36.25,1.0971217
9.75,36.75,1.7357727
9.75,44.75,3.815686
9.75,45.25,2.147726
9.75,45.75,2.5579848
9.75,46.25,2.8530269
9.75,47.75,9.953226
9.75,48.25,7.9799595
9.75,48.75,9.105359
9.75,49.25,8.243274
9.75,49.75,6.931398
9.75,50.25,8.786567
9.75,50.75,9.151194
9.75,51.25,8.782525
9.75,51.75,7.8544817
9.75,52.25,6.7770977
9.75,52.75,6.9425325
9.75,53.25,7.3623133
9.75,56.25,7.916005
9.75,56.75,8.6913595
10.25,35.25,0.15678754
10.25,35.75,0.32570598
10.25,36.25,0.7325182
10.25,44.75,3.9746652
10.25,45.25,2.3084848
10.25,45.75,2.6371686
10.25,46.25,2.037416
10.25,47.25,6.7657423
10.25,47.75,10.699121
10.25,48.25,9.434315
10.25,48.75,8.131043
10.25,49.25,8.031281
10.25,49.75,6.0915446
10.25,50.25,7.413285
10.25,50.75,9.168806
10.25,51.25,7.921715
10.25,51.75,7.8083086
10.25,52.25,5.7217135
10.25,52.75,7.2491026
10.25,53.25,6.756331
10.25,53.75,6.6165524
10.75,43.75,4.3813734
10.75,44.25,4.865525
10.75,44.75,3.4141908
10.75,45.25,2.2340472
10.75,45.75,2.752217
10.75,46.25,1.8376758
10.75,47.75,10.678787
10.75,48.25,9.126709
10.75,48.75,7.718891
10.75,49.25,7.9404235
10.75,49.75,7.7305846
10.75,50.25,7.8951015
