Longitude,Latitude,Var
5.75,9.25,2.1157556
5.75,9.75,2.3628466
5.75,10.25,2.2513576
5.75,10.75,2.264066
5.75,11.25,1.9868921
5.75,11.75,2.1909704
5.75,12.25,1.2268147
5.75,12.75,0.86852515
5.75,13.25,0.4854957
5.75,13.75,2.6717281
6.25,4.75,2.4269285
6.25,5.25,2.385213
6.25,5.75,1.9943519
6.25,6.25,2.0895088
6.25,6.75,2.4382768
6.25,7.25,2.3690474
6.25,7.75,2.0821521
6.25,8.25,2.6627436
6.25,8.75,2.335263
6.25,9.25,1.8453097
6.25,9.75,2.164302
6.25,10.25,2.573361
6.25,10.75,2.403316
6.25,11.25,2.3211603
6.25,11.75,2.3193588
6.25,12.25,0.8328404
6.25,12.75,0.69195986
6.25,13.25,0.6967749
6.25,13.75,3.576349
6.75,5.25,1.9525572
6.75,5.75,1.8133086
6.75,6.25,1.7215335
6.75,6.75,1.8423074
6.75,7.25,2.2224672
6.75,7.75,2.1764064
6.75,8.25,2.4802377
6.75,8.75,2.5259058
6.75,9.25,2.265621
6.75,9.75,2.1656651
6.75,10.25,2.4579396
6.75,10.75,2.6519186
6.75,11.25,2.0273044
6.75,11.75,1.6764446
6.75,12.25,0.81664157
6.75,12.75,0.61580354
6.75,13.25,0.6090566
6.75,44.25,2.2714438
6.75,44.75,2.4305863
6.75,45.25,6.0409455
7.25,5.25,1.5043266
7.25,5.75,1.6594182
7.25,6.25,1.5995862
7.25,6.75,1.7363051
7.25,7.25,2.0212245
7.25,7.75,2.2746413
7.25,8.25,2.5022168
7.25,8.75,2.4352703
7.25,9.25,2.2717004
7.25,9.75,2.6199198
7.25,10.25,2.4895163
7.25,10.75,2.2223768
7.25,11.25,1.6310872
7.25,11.75,1.1953974
7.25,12.25,0.86031455
7.25,12.75,0.63098323
7.25,13.25,0.4316396
7.25,44.25,8.199442
7.25,44.75,7.9972954
7.25,45.25,7.2791743
7.25,45.75,2.7553732
7.75,5.25,1.5904816
7.75,5.75,2.0712726
7.75,6.25,1.3493367
7.75,6.75,1.9241104
7.75,7.25,1.867405
7.75,7.75,2.0484297
7.75,8.25,2.249959
7.75,8.75,2.1502433
7.75,9.25,2.2088006
7.75,9.75,2.2740946
7.75,10.25,1.8757472
7.75,10.75,1.9147475
