Longitude,Latitude,Var
9.25,11.25,0.08474909
9.25,11.75,0.07471247
9.25,12.25,0.24236807
9.25,12.75,0.9459706
9.75,6.25,2.766981
9.75,6.75,1.4469013
9.75,7.25,0.8026553
9.75,7.75,0.48969334
9.75,8.25,0.4794141
9.75,8.75,0.40643093
9.75,9.25,0.2653163
9.75,9.75,0.2268827
9.75,10.25,0.28611678
9.75,10.75,0.16128148
9.75,11.25,0.07074342
9.75,11.75,0.06946634
9.75,12.25,0.10999565
9.75,12.75,0.23759378
9.75,13.25,0.10342315
10.25,6.75,3.0203793
10.25,7.25,2.0653918
10.25,7.75,1.3969978
10.25,8.25,0.4814198
10.25,8.75,0.44616076
10.25,9.25,0.38075286
10.25,9.75,0.3056102
10.25,10.25,0.2277583
10.25,10.75,0.12110161
10.25,11.25,0.08619877
10.25,11.75,0.078731515
10.25,12.25,0.09425172
10.25,12.75,0.111561894
10.25,13.25,0.09705704
10.75,6.75,2.6932628
10.75,7.25,2.9304416
10.75,7.75,2.0275817
10.75,8.25,0.67312723
10.75,8.75,0.50327337
10.75,9.25,0.48245284
10.75,9.75,0.4519533
10.75,10.25,0.16306391
10.75,10.75,0.15200111
10.75,11.25,0.07862624
10.75,11.75,0.08782438
10.75,12.25,0.09078297
10.75,12.75,0.082828164
10.75,13.25,0.101029664
11.25,6.75,1.8021212
11.25,7.25,2.5319827
11.25,7.75,2.3506243
11.25,8.25,1.506932
11.25,8.75,0.78074557
11.25,9.25,0.3336364
11.25,9.75,0.2088877
11.25,10.25,0.08830151
11.25,10.75,0.16235876
11.25,11.25,0.0819442
11.25,11.75,0.08689519
11.25,12.25,0.09515964
11.25,12.75,0.09310528
11.25,13.25,0.09803099
11.75,6.75,1.884054
11.75,7.25,2.8430905
11.75,7.75,2.357767
11.75,8.25,1.7706496
11.75,8.75,0.8511118
11.75,9.25,0.2838292
11.75,9.75,0.23860738
11.75,10.25,0.11028197
11.75,10.75,0.11301339
11.75,11.25,0.0963862
11.75,11.75,0.09147284
11.75,12.25,0.09053135
11.75,12.75,0.09272742
11.75,13.25,0.098522685
12.25,7.75,1.7313088
12.25,8.25,1.0052559
12.25,8.75,0.5321342
12.25,9.25,0.34781012
12.25,9.75,0.2249811
12.25,10.25,0.20664418
12.25,10.75,0.13577226
12.25,11.25,0.09639627
12.25,11.75,0.08369005
12.25,12.25,0.08542216
12.25,12.75,0.0919708
12.25,13.25,0.07939549
12.75,8.75,0.72750103
12.75,9.25,0.36197641
12.75,9.75,0.29262453
12.75,10.25,0.21364509
12.75,10.75,0.13229735
12.75,11.25,0.10246894
12.75,11.75,0.081285745
12.75,12.25,0.08962142
12.75,12.75,0.089841805
12.75,13.25,0.08977755
13.25,9.75,0.41965947
13.25,10.25,0.16661859
13.25,10.75,0.1087554
13.25,11.25,0.105261505
13.25,11.75,0.08392724
13.25,12.25,0.085793614
13.25,12.75,0.090114735
13.25,13.25,0.09535079
13.25,13.75,0.82110685
13.75,10.75,0.12275817
13.75,11.25,0.08035048
13.75,11.75,0.08566012
13.75,12.25,0.08968989
13.75,12.75,0.09531889
13.75,13.25,0.21431245
14.25,11.25,0.07352632
14.25,11.75,0.08341204
14.25,12.25,0.08151435
14.75,11.75,0.07860743
14.75,12.25,0.07755283
75.25,12.75,5.9700627
76.25,10.75,5.9515224
76.25,11.25,7.189315
76.25,11.75,8.172062
76.75,9.25,7.8442364
76.75,9.75,8.358574
76.75,10.25,8.423336
76.75,10.75,5.856075
76.75,11.25,7.2913303
76.75,11.75,4.5891886
77.25,8.75,6.168858
77.25,9.25,4.3905225
77.25,9.75,5.5735064
77.25,10.25,4.951821
77.25,10.75,2.3343077
77.25,11.25,1.9653296
77.25,11.75,5.0054226
77.25,12.25,3.4927633
77.25,13.25,0.9468847
77.25,13.75,0.82898265
77.75,8.75,2.5576527
77.75,9.25,2.1847205
77.75,9.75,3.20162
77.75,10.25,3.6979878
77.75,10.75,1.6292499
77.75,11.25,2.1783698
77.75,11.75,3.998314
77.75,12.25,4.2734327
77.75,12.75,2.5425909
77.75,13.25,0.75414175
77.75,13.75,0.7078696
78.25,9.75,1.7976044
78.25,10.25,3.4631765
78.25,10.75,2.5346994
78.25,11.25,2.8952968
78.25,11.75,4.7410192
78.25,12.25,2.5835147
78.25,12.75,2.4510288
78.25,13.25,1.0431838
78.25,13.75,0.29229483
78.75,10.25,2.1419916
78.75,10.75,2.0579464
78.75,11.25,2.887065
78.75,11.75,3.6430469
78.75,12.25,3.6407063
78.75,12.75,4.4343495
78.75,13.25,3.6081169
79.25,10.75,3.4212544
79.25,11.25,2.5003996
79.25,11.75,2.2876046
79.25,12.25,2.8310485
79.25,12.75,3.2721863
79.25,13.25,2.7755117
79.75,12.75,2.3367019
79.75,13.25,2.186071
84.75,20.25,3.0729814
85.25,20.25,1.1273066
85.75,20.25,0.9896898
85.75,20.75,0.88493645
85.75,21.25,0.88698053
86.25,20.25,0.5739578
86.25,20.75,0.9900411
86.75,21.75,1.2982836
86.75,22.25,0.89824533
86.75,22.75,0.879694
87.25,22.25,1.2727976
87.25,22.75,1.3214593
87.25,23.75,0.50722873
87.75,22.25,2.8212328
87.75,22.75,2.722364
87.75,23.75,0.7971673
87.75,24.25,0.94202805
87.75,24.75,1.3906078
87.75,25.25,1.1767634
87.75,25.75,0.5744558
88.25,22.75,2.4852562
88.25,23.25,2.0821488
88.25,23.75,1.451227
88.25,24.25,1.2762319
88.25,24.75,1.556592
88.25,25.25,1.3659803
88.25,25.75,0.960604
88.25,26.25,0.79823154
88.25,26.75,0.9175333
88.75,22.25,1.106258
88.75,22.75,2.3855586
88.75,23.25,2.8430777
88.75,23.75,2.3451061
88.75,24.25,1.811162
88.75,24.75,2.9444466
88.75,25.25,1.405068
88.75,25.75,2.0763423
88.75,26.25,1.2412658
88.75,26.75,1.5488237
89.25,22.25,0.9506736
89.25,22.75,2.072401
89.25,23.25,3.2759335
89.25,23.75,2.079526
89.25,24.25,2.7936468
89.25,24.75,3.543637
89.25,25.25,2.7891693
89.25,25.75,2.2897706
89.25,26.25,0.9198882
89.25,26.75,1.7582585
89.75,22.75,2.6863601
89.75,23.25,2.9624085
89.75,23.75,2.0917985
89.75,24.25,3.170488
89.75,24.75,3.1444085
89.75,25.25,1.942297
89.75,25.75,1.4269874
89.75,26.25,0.9622107
89.75,26.75,2.2138414
90.25,22.25,1.7588902
90.25,22.75,3.2892942
90.25,23.25,3.8453574
90.25,23.75,3.83157
90.25,24.25,2.8841953
90.25,24.75,2.5292938
90.25,25.25,2.5134428
90.75,23.75,2.580047
90.75,24.25,2.5399017
90.75,24.75,2.4598675
90.75,25.25,2.2073982
91.25,23.25,3.094398
91.25,23.75,3.136584
91.25,24.25,2.3163552
91.25,24.75,2.9403424
91.25,25.25,3.1677077
91.75,23.75,9.608488
91.75,24.25,3.3440506
91.75,24.75,1.9348162
91.75,25.25,2.3128936
92.25,21.75,8.304288
92.25,22.25,7.0626664
92.25,22.75,7.111899
92.25,23.75,9.809811
92.25,24.25,5.5492396
92.25,24.75,2.248908
92.25,25.25,1.5910321
92.75,21.25,9.639534
92.75,21.75,12.570442
92.75,22.25,12.354494
93.25,20.75,4.410408
93.25,21.25,9.412155
93.25,21.75,9.720262
93.25,22.25,9.187843
93.25,22.75,8.356671
93.25,23.75,9.881823
93.25,24.25,9.722038
93.75,20.25,9.698323
93.75,20.75,9.803667
93.75,21.25,8.73792
93.75,21.75,8.114893
93.75,22.25,7.527792
93.75,22.75,6.024124
93.75,23.25,6.4070272
93.75,23.75,9.072901
94.25,19.75,9.953537
94.25,20.25,8.970547
94.25,20.75,2.6463015
94.25,21.25,2.6750114
94.25,21.75,3.1453958
94.25,22.25,3.1046274
94.25,22.75,4.2872124
94.25,23.25,4.340619
94.25,23.75,7.0706105
94.25,24.25,6.5399165
94.25,24.75,5.412399
94.75,16.75,3.919593
94.75,18.25,9.571195
94.75,18.75,7.723007
94.75,19.25,5.0641174
94.75,19.75,1.7221435
94.75,20.25,1.0120717
94.75,20.75,0.6006204
94.75,21.25,0.4260134
94.75,21.75,0.6858954
94.75,22.25,0.6557913
94.75,22.75,3.660526
94.75,24.25,7.740739
94.75,25.25,8.285592
94.75,25.75,8.472378
94.75,26.75,2.4549222
94.75,27.25,1.2005801
95.25,16.25,2.861717
95.25,16.75,3.0356457
95.25,17.25,2.680681
95.25,17.75,2.4268463
95.25,18.25,1.9877709
95.25,18.75,1.6976496
95.25,19.25,1.4773866
95.25,19.75,0.6326682
95.25,20.25,0.23511732
95.25,20.75,0.46046197
95.25,21.25,0.3745783
95.25,21.75,0.8264975
95.25,22.25,0.5671054
95.25,22.75,0.6730363
95.25,24.75,7.0456066
95.25,25.25,8.810541
95.25,26.75,7.139538
95.25,27.25,2.8779013
95.75,16.75,3.759052
95.75,17.25,2.85668
95.75,17.75,2.6067345
95.75,18.25,2.5636024
95.75,18.75,2.628784
95.75,19.25,5.094584
95.75,19.75,2.307133
95.75,20.25,0.9683764
95.75,20.75,0.22997467
95.75,21.25,0.31279516
95.75,21.75,0.6310127
95.75,22.25,0.60901237
95.75,22.75,0.7660189
95.75,23.25,2.2806792
95.75,23.75,2.6942894
95.75,24.75,8.862973
95.75,25.25,8.724067
95.75,25.75,8.533781
95.75,26.25,7.861914
95.75,26.75,6.885071
95.75,27.25,8.447686
96.25,4.75,6.1303425
96.25,16.75,0.9519018
96.25,17.25,2.8186862
96.25,17.75,8.156747
96.25,18.25,7.636126
96.25,18.75,5.781623
96.25,19.25,4.712284
96.25,19.75,3.7497785
96.25,20.25,2.290577
96.25,20.75,0.98472136
96.25,21.25,1.312538
96.25,21.75,1.1973257
96.25,22.25,2.1723452
96.25,22.75,6.6064873
96.25,23.25,4.7248864
96.25,23.75,3.1932592
96.25,24.25,5.5763235
96.25,24.75,7.1067758
96.25,25.25,7.888537
96.25,25.75,8.621582
96.25,26.25,8.320798
96.25,26.75,8.008707
96.25,27.25,8.041836
96.75,4.25,5.459899
96.75,4.75,6.172418
96.75,17.75,3.8593013
96.75,18.25,3.034047
96.75,18.75,5.134734
96.75,19.25,9.659251
96.75,19.75,9.130203
96.75,20.25,5.296597
96.75,20.75,1.724405
96.75,21.25,2.443597
96.75,21.75,4.9588776
96.75,22.25,2.8577383
96.75,22.75,8.204774
96.75,23.25,7.171841
96.75,23.75,8.3023405
96.75,24.25,6.5038276
96.75,24.75,8.656397
96.75,25.25,8.031432
96.75,25.75,8.691597
96.75,26.25,8.565441
96.75,26.75,8.18207
96.75,27.25,7.195822
96.75,27.75,4.096712
97.25,3.75,5.9749475
97.25,4.25,5.9044776
97.25,4.75,6.1547523
97.25,17.75,9.034973
97.25,18.25,8.969924
97.25,18.75,8.443677
97.25,19.25,4.7335553
97.25,19.75,2.395056
97.25,20.25,2.766075
97.25,20.75,2.525041
97.25,21.25,4.0734854
97.25,21.75,5.973409
97.25,22.25,4.3181963
97.25,22.75,6.0997686
97.25,23.25,8.46807
97.25,23.75,10.590956
97.25,24.25,10.031136
97.25,24.75,11.487835
97.25,25.25,8.714792
97.25,25.75,10.622801
97.25,26.25,8.650851
97.25,26.75,8.001088
97.25,27.75,10.616712
97.25,28.25,3.9856956
97.75,3.25,5.583138
97.75,3.75,5.719567
97.75,4.25,5.8738346
97.75,17.25,3.0619123
97.75,17.75,5.9745016
97.75,18.25,5.566886
97.75,18.75,5.0798564
97.75,19.25,5.4343553
97.75,19.75,4.16254
97.75,20.25,3.486055
97.75,20.75,3.3566494
97.75,21.25,3.2308176
97.75,21.75,4.154955
97.75,22.25,5.6289716
97.75,22.75,5.743365
97.75,23.25,6.876825
97.75,23.75,14.107862
97.75,24.25,12.828645
97.75,25.25,17.262735
97.75,25.75,13.905931
97.75,26.25,8.726729
97.75,26.75,8.679616
97.75,27.25,16.295982
97.75,27.75,14.002107
97.75,28.25,7.095461
98.25,2.75,5.490639
98.25,3.25,5.2947345
98.25,3.75,5.6891327
98.25,14.75,5.986333
98.25,15.75,5.509428
98.25,16.25,4.2716484
98.25,16.75,3.8043902
98.25,17.75,4.6797585
98.25,18.25,3.4674013
98.25,18.75,4.701827
98.25,19.25,4.327074
98.25,20.25,6.8715982
98.25,20.75,7.992619
98.25,21.25,6.625305
98.25,21.75,6.4909887
98.25,22.25,5.755105
98.25,22.75,5.421134
98.25,23.25,6.2208786
98.25,23.75,11.922103
98.25,24.25,14.044235
98.25,25.25,17.430004
98.25,26.25,8.109781
98.25,26.75,7.43124
98.25,27.25,13.011222
98.25,27.75,11.455097
98.25,28.25,5.7501926
98.75,2.25,4.608858
98.75,2.75,3.773365
98.75,3.25,5.4267817
98.75,8.75,4.70883
98.75,9.25,4.387234
98.75,13.75,6.5409207
98.75,14.25,5.367941
98.75,14.75,4.1838746
98.75,15.25,5.403226
98.75,15.75,5.6503015
98.75,16.75,2.6998143
98.75,17.25,3.708426
98.75,17.75,1.8413225
98.75,18.25,1.7797471
98.75,18.75,2.4693565
98.75,19.25,3.6515684
98.75,20.25,7.159394
98.75,20.75,8.391905
98.75,21.25,11.643897
98.75,21.75,17.556585
98.75,22.25,16.695234
98.75,22.75,16.199785
98.75,23.25,14.562304
98.75,25.75,11.699636
98.75,26.75,10.91329
98.75,27.25,10.787083
98.75,27.75,6.7710233
99.25,1.25,5.9558544
99.25,1.75,5.771398
99.25,2.25,5.2067986
99.25,2.75,5.571424
99.25,8.25,3.954935
99.25,8.75,4.191148
99.25,12.25,5.706553
99.25,14.25,1.8582463
99.25,14.75,2.4806452
99.25,15.25,3.3729286
99.25,15.75,2.269942
99.25,16.25,1.6463456
99.25,16.75,1.2952645
99.25,17.25,1.6528807
99.25,17.75,2.8553872
99.25,18.25,1.5553936
99.25,18.75,2.2780578
99.25,19.25,3.9261038
99.25,20.25,6.4113903
99.25,20.75,8.598519
99.25,21.25,11.134419
99.25,21.75,15.967387
99.25,22.25,13.55372
99.25,23.25,14.272652
99.75,0.75,5.3609576
99.75,1.25,5.0569315
99.75,1.75,5.148664
99.75,2.25,5.7584558
99.75,2.75,5.571992
99.75,7.75,3.8565764
99.75,8.25,4.031201
99.75,13.75,1.49289
99.75,14.25,1.0116925
99.75,14.75,0.91381437
99.75,15.25,1.1099077
99.75,15.75,0.9217391
99.75,16.25,1.0016026
99.75,16.75,1.0323217
99.75,17.25,1.0015198
99.75,17.75,3.1205585
99.75,18.25,2.0490355
99.75,18.75,3.7990706
99.75,19.25,2.1191034
99.75,19.75,2.1300771
99.75,20.25,2.932321
99.75,20.75,4.981523
99.75,21.25,8.579528
99.75,22.25,13.687521
99.75,22.75,10.225915
100.25,-0.25,4.8923054
100.25,0.25,5.3587418
100.25,0.75,5.4946637
100.25,1.25,5.3552747
100.25,1.75,5.486093
100.25,6.75,3.141631
100.25,7.25,3.6152828
100.25,13.75,1.953734
100.25,14.25,1.6790907
100.25,14.75,1.4161059
100.25,15.25,1.3949193
100.25,15.75,0.8380181
100.25,16.25,1.0227925
100.25,16.75,1.1056656
100.25,17.25,1.3627609
100.25,17.75,2.4609077
100.25,18.25,2.4510598
100.25,18.75,3.5999997
100.25,19.25,2.3285468
100.25,19.75,1.968575
